G_pro1_rank,accession,G_pre1_rank,G_pre1_score,deployment_readiness_score,C_verified_status_score,domain_architecture_similarity,receptor_binding_region_similarity,structure_similarity,physicochemical_similarity,target_context_or_docking_similarity,C_verified_anchor_similarity_score,C_verified_score,G_pro1_score,wet_lab_status,evidence_registry_status,sequence_recovered,similarity_confidence,deployment_readiness_confidence,forced_rank_status,hard_coded_priority_status,manual_override_status,gold_standard_bonus_status,candidate_policy,source_pair_id,source_candidate_record_id,E6_4_constructability_expression_score,E6_5_solubility_aggregation_chaperone_score,E6_6_application_engineering_score,deployment_score_normalized_by_available_fields,score_normalized_by_available_fields,domain_component_status,receptor_binding_region_component_status,structure_component_status,physicochemical_component_status,target_context_or_docking_component_status,sequence_sha256,sequence_source_file
20,A0AAE9FSZ1,17,0.585420,0.884858,0.500000,0.000000,0.457283,1.000000,0.957017,0.638572,0.562724,0.518817,0.595383,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAE9FSZ1__V52_B0_391873faf7cd0b211011__compound5,V52_B0_391873faf7cd0b211011,0.800000,0.912144,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,1c0cffb89096a4367505ba7d2a130c45a67699827289cac5a4168744a1456253,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
21,A0AAE9FUR5,18,0.582468,0.885398,0.500000,0.000000,0.463168,1.000000,0.967444,0.683231,0.574396,0.522319,0.594716,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAE9FUR5__V52_B0_3be894516b034d93ccea__compound5,V52_B0_3be894516b034d93ccea,0.750000,0.963495,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,0b0a5d194507b490da99957bc67691e4831ffc6f90bf0a31ab40a0970f3b21a5,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
22,F4N2J8,34,0.564662,0.906129,0.500000,0.000000,0.823621,1.000000,0.907361,0.845090,0.669846,0.550954,0.594696,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,F4N2J8__V52_B0_678901de5475dc45ea34__compound5,V52_B0_678901de5475dc45ea34,0.975000,0.790323,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,29627bbbe8ea7dfe2e35208c062a4d62f00d351d957679077a1167c0ec281378,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
23,S5MLA1,6,0.594084,0.856067,0.500000,0.000000,0.304403,1.000000,0.904386,0.572454,0.511029,0.503309,0.593050,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,S5MLA1__V52_B0_73247484443e8927b1d1__compound5,V52_B0_73247484443e8927b1d1,0.775000,0.865168,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,5f5f9211ef028b655d15e9047abd7cb1c6e487af81719a9daa092beac5738a0a,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
24,A0AAE7V5N4,10,0.591996,0.857623,0.500000,0.000000,0.306653,1.000000,0.949738,0.596510,0.523093,0.506928,0.593038,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAE7V5N4__V52_B0_16f147005e1596182f59__compound5,V52_B0_16f147005e1596182f59,0.750000,0.894057,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,671b0a26d696e9d51ee6847d290c5472f9fabb476cf9b9ed0a08d2e284251307,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
25,A0A449C5Z2,35,0.564507,0.912292,0.500000,0.000000,0.688712,1.000000,0.942005,0.814764,0.641996,0.542599,0.592713,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A449C5Z2__V52_B0_814e6a30a8cec12fad65__compound5,V52_B0_814e6a30a8cec12fad65,0.825000,0.955729,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,1dd7cfdf14ac10499a242a2a50492f988b9e12532004ff5282369331d697e3ae,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
26,Q858J8,9,0.592645,0.779068,0.500000,0.142857,0.399148,1.000000,0.983984,0.614800,0.586101,0.525830,0.591243,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,Q858J8__V52_B0_d22506a9c7997355701e__compound5,V52_B0_d22506a9c7997355701e,0.475000,0.972670,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,b52688302df2559fdf274b7d94dc047f197964ad1e9e2f0a9cfa4c768bc7f388,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
27,A0A449C440,33,0.565236,0.915764,0.500000,0.000000,0.569628,1.000000,0.942077,0.804785,0.616194,0.534858,0.591175,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A449C440__V52_B0_ed3d540e9b281f6de46c__compound5,V52_B0_ed3d540e9b281f6de46c,0.825000,0.964410,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,76db5d59aa15d8db44a6c9f68dc6368e96ba22dd46797eea03aa47c29fcfb11a,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
28,A0AAE7CTI2,46,0.557703,0.941429,0.500000,0.000000,0.636241,1.000000,0.926651,0.792353,0.624717,0.537415,0.589989,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAE7CTI2__V52_B0_89ea6bfef82cd651d3d4__compound5,V52_B0_89ea6bfef82cd651d3d4,0.975000,0.878572,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,81f52f281797e2a3702f544a73dc81aacaf4a9638add7bc3e6f56900d19e1735,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
29,A0A0H3NZ47,27,0.567341,0.885464,0.500000,0.000000,0.524326,1.000000,0.956065,0.835207,0.615316,0.534595,0.589329,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0H3NZ47__V52_B0_3eceb6098cd2f789468c__compound5,V52_B0_3eceb6098cd2f789468c,0.800000,0.913660,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,d80697b26d5ffe3b4736b6527e486ccd8cf2312ac98625679b5f5030f7c5bb83,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
30,A0A449C3Z7,28,0.567132,0.929388,0.500000,0.000000,0.309065,1.000000,0.937158,0.762281,0.554843,0.516453,0.588154,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A449C3Z7__V52_B0_e0491d4f3d7d3df7cc92__compound5,V52_B0_e0491d4f3d7d3df7cc92,0.925000,0.898471,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,43673ebc598b71fc36926840a497682eff2af35975666ab1aed35ce712cd2865,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
31,A0A449C555,39,0.563009,0.879156,0.500000,0.000000,0.638361,1.000000,0.913072,0.819368,0.628507,0.538552,0.587287,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A449C555__V52_B0_5ab0ec1ff4be719d99fd__compound5,V52_B0_5ab0ec1ff4be719d99fd,0.725000,0.972891,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,d4fca03c0ade8d07aecf959b3e1f22413af38e6613ae461a59c17e209607554e,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
32,A0A0G2PMY8,43,0.560227,0.873510,0.500000,0.000000,0.719379,1.000000,0.926049,0.794106,0.641604,0.542481,0.586232,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0G2PMY8__V52_B0_a1cd974de2f5316f4c94__compound5,V52_B0_a1cd974de2f5316f4c94,0.875000,0.808775,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,725a0d6fec836debf2a97c3bc879782b127ba0b7d0db368c536fa10e0f2bc334,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
33,A0AAE9FQ76,40,0.561838,0.883290,0.500000,0.000000,0.584336,1.000000,0.959720,0.767868,0.614399,0.534320,0.585728,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAE9FQ76__V52_B0_4d659282a14eb1343085__compound5,V52_B0_4d659282a14eb1343085,0.750000,0.958224,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,6d9f69b6a2a2d5b21dd2584529617d084247e0a796e02e2a82dca4480ee65042,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
34,I7LHK5,26,0.568044,0.863887,0.500000,0.000000,0.398541,1.000000,0.954957,0.772923,0.577537,0.523261,0.584193,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,I7LHK5__V52_B0_1da18deb4e2fe666e802__compound5,V52_B0_1da18deb4e2fe666e802,0.700000,0.959718,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,a19d5b056f427239366299a89fa3bed3f09f4a6ce19dbbc486db245683ff9805,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
35,Q858U5,24,0.568694,0.858915,0.500000,0.000000,0.446340,1.000000,0.950829,0.723721,0.576636,0.522991,0.584005,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,Q858U5__V52_B0_9752cc0190d82ba0542c__compound5,V52_B0_9752cc0190d82ba0542c,0.750000,0.897287,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,b01cd292eb360577ff4b8238e56e8bb274479e8bdbe6c7f38f2952522f54a612,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
36,A0AAE7S353,22,0.572380,0.780732,0.500000,0.000000,0.628620,1.000000,0.990591,0.796423,0.633597,0.540079,0.583525,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAE7S353__V52_B0_f9610b272d332c1d8ac9__compound5,V52_B0_f9610b272d332c1d8ac9,0.475000,0.976831,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,af70e7c90ab2426588f1267b520d5833a38dc7838ea79ad6b2b98908339c5dee,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
37,A0A449C5Q6,30,0.566082,0.863846,0.500000,0.000000,0.506968,1.000000,0.903164,0.723885,0.581645,0.524494,0.583382,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A449C5Q6__V52_B0_50c85654008871c8b9cf__compound5,V52_B0_50c85654008871c8b9cf,0.775000,0.884615,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,04ac1b6e91280345743e73baf98a13155d5aa5ffce3f68edca46fc3bf7579fe0,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
