G_pro1_rank,accession,G_pre1_rank,G_pre1_score,deployment_readiness_score,C_verified_status_score,domain_architecture_similarity,receptor_binding_region_similarity,structure_similarity,physicochemical_similarity,target_context_or_docking_similarity,C_verified_anchor_similarity_score,C_verified_score,G_pro1_score,wet_lab_status,evidence_registry_status,sequence_recovered,similarity_confidence,deployment_readiness_confidence,forced_rank_status,hard_coded_priority_status,manual_override_status,gold_standard_bonus_status,candidate_policy
11,A0A7U4GE98,16,0.585492,0.911519,0.500000,0.000000,0.533725,1.000000,0.912669,0.792678,0.602181,0.530654,0.601643,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
12,A0A0G2PMU5,7,0.593066,0.855574,0.500000,0.000000,0.568847,1.000000,0.964863,0.711296,0.600758,0.530227,0.600465,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
13,A0A1V0DXW2,4,0.599320,0.857148,0.500000,0.000000,0.494339,1.000000,0.918335,0.592046,0.555027,0.516508,0.600259,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
14,A0A6M3G9R6,11,0.590372,0.871124,0.500000,0.000000,0.643272,1.000000,0.911648,0.617578,0.588917,0.526675,0.599338,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
15,I7LHJ5,38,0.563662,0.979954,0.500000,0.000000,0.641426,1.000000,0.939402,0.805896,0.630375,0.539112,0.597926,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
16,A0A7U4JZS3,25,0.568445,0.956666,0.500000,0.000000,0.587533,1.000000,0.932390,0.808515,0.619068,0.535720,0.597450,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
17,B3VCL5,8,0.592939,0.768383,0.500000,0.333333,0.499835,1.000000,0.983388,0.666584,0.664125,0.549238,0.597373,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
18,A0A088F649,44,0.558317,0.797500,0.500000,1.000000,0.435355,1.000000,0.997582,0.810383,0.848785,0.604635,0.596131,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
19,F4N729,36,0.564356,0.960322,0.500000,0.000000,0.744982,1.000000,0.911769,0.698987,0.625559,0.537668,0.595946,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
20,A0AAE9FSZ1,17,0.585420,0.884858,0.500000,0.000000,0.457283,1.000000,0.957017,0.638572,0.562724,0.518817,0.595383,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
21,A0AAE9FUR5,18,0.582468,0.885398,0.500000,0.000000,0.463168,1.000000,0.967444,0.683231,0.574396,0.522319,0.594716,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
22,F4N2J8,34,0.564662,0.906129,0.500000,0.000000,0.823621,1.000000,0.907361,0.845090,0.669846,0.550954,0.594696,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
23,S5MLA1,6,0.594084,0.856067,0.500000,0.000000,0.304403,1.000000,0.904386,0.572454,0.511029,0.503309,0.593050,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
24,A0AAE7V5N4,10,0.591996,0.857623,0.500000,0.000000,0.306653,1.000000,0.949738,0.596510,0.523093,0.506928,0.593038,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
25,A0A449C5Z2,35,0.564507,0.912292,0.500000,0.000000,0.688712,1.000000,0.942005,0.814764,0.641996,0.542599,0.592713,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
26,Q858J8,9,0.592645,0.779068,0.500000,0.142857,0.399148,1.000000,0.983984,0.614800,0.586101,0.525830,0.591243,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
27,A0A449C440,33,0.565236,0.915764,0.500000,0.000000,0.569628,1.000000,0.942077,0.804785,0.616194,0.534858,0.591175,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
28,A0AAE7CTI2,46,0.557703,0.941429,0.500000,0.000000,0.636241,1.000000,0.926651,0.792353,0.624717,0.537415,0.589989,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
29,A0A0H3NZ47,27,0.567341,0.885464,0.500000,0.000000,0.524326,1.000000,0.956065,0.835207,0.615316,0.534595,0.589329,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
30,A0A449C3Z7,28,0.567132,0.929388,0.500000,0.000000,0.309065,1.000000,0.937158,0.762281,0.554843,0.516453,0.588154,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
31,A0A449C555,39,0.563009,0.879156,0.500000,0.000000,0.638361,1.000000,0.913072,0.819368,0.628507,0.538552,0.587287,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
32,A0A0G2PMY8,43,0.560227,0.873510,0.500000,0.000000,0.719379,1.000000,0.926049,0.794106,0.641604,0.542481,0.586232,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
33,A0AAE9FQ76,40,0.561838,0.883290,0.500000,0.000000,0.584336,1.000000,0.959720,0.767868,0.614399,0.534320,0.585728,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
34,I7LHK5,26,0.568044,0.863887,0.500000,0.000000,0.398541,1.000000,0.954957,0.772923,0.577537,0.523261,0.584193,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
35,Q858U5,24,0.568694,0.858915,0.500000,0.000000,0.446340,1.000000,0.950829,0.723721,0.576636,0.522991,0.584005,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
36,A0AAE7S353,22,0.572380,0.780732,0.500000,0.000000,0.628620,1.000000,0.990591,0.796423,0.633597,0.540079,0.583525,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
37,A0A449C5Q6,30,0.566082,0.863846,0.500000,0.000000,0.506968,1.000000,0.903164,0.723885,0.581645,0.524494,0.583382,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
38,I7K3G3,29,0.567110,0.739058,0.500000,0.333333,0.619864,1.000000,0.982388,0.738375,0.702339,0.560702,0.582382,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
39,A0A9P1PWH0,23,0.570609,0.893442,0.500000,0.000000,0.335890,1.000000,0.955161,0.481499,0.506752,0.502026,0.582317,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
40,S5M9F2,45,0.557936,0.863333,0.500000,0.000000,0.532680,1.000000,0.954720,0.814770,0.612698,0.533809,0.581238,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
41,I6Q9A1,31,0.565565,0.778172,0.500000,0.142857,0.564653,1.000000,0.983604,0.791961,0.654578,0.546373,0.581068,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
42,A0A0B5A4Q9,50,0.555314,0.901428,0.500000,0.000000,0.407602,1.000000,0.912686,0.805107,0.579445,0.523833,0.580481,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
43,S5MRA5,49,0.556463,0.838204,0.500000,0.000000,0.626668,1.000000,0.931392,0.750667,0.615176,0.534553,0.578064,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
44,S5M3B5,15,0.585871,0.736034,0.500000,0.000000,0.250985,1.000000,0.971275,0.639512,0.523791,0.507137,0.577267,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
45,A0A449C531,21,0.574831,0.728334,0.500000,0.000000,0.498547,1.000000,0.980318,0.665414,0.579840,0.523952,0.574918,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
46,A0A0H3NZ57,48,0.557146,0.745116,0.500000,0.000000,0.625914,1.000000,0.953381,0.839274,0.636045,0.540813,0.571043,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
47,A0A1V0DXT2,41,0.561406,0.732308,0.500000,0.000000,0.508398,1.000000,0.979156,0.715090,0.591571,0.527471,0.568316,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
48,S5ML14,37,0.563844,0.729848,0.500000,0.000000,0.392728,1.000000,0.980710,0.720984,0.569849,0.520955,0.567578,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
49,A0A0B4ZXE3,47,0.557289,0.653915,0.500000,0.000000,0.808078,1.000000,0.973292,0.721428,0.651895,0.545568,0.563435,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
50,I7K324,42,0.560964,0.653915,0.500000,0.000000,0.415843,1.000000,0.973416,0.701113,0.569404,0.520821,0.558216,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
