source_accession,pair_id,candidate_record_id,ligand_id,ordinary_candidate_policy,forced_rank_status,hard_coded_priority_status,gold_standard_bonus_status,best_affinity_kcal_mol,broad_vina_rank,broad_vina_score,broad_vina_percentile,receptor_pdbqt_path,output_pose_path,log_path,pose_file_status,receptor_file_status,ligand_parse_status,receptor_parse_status,pose_count,top_pose_model_index,top_pose_parse_source,ligand_atom_count,receptor_atom_count,contact_cutoff_angstrom,close_contact_cutoff_angstrom,clash_cutoff_angstrom,contact_pair_count,close_contact_pair_count,clash_pair_count,polar_contact_pair_count,contact_residue_count,receptor_contact_atom_count,ligand_contact_atom_count,min_ligand_receptor_distance_angstrom,pose_contact_QC_status,manual_review_required,review_reason,pose_contact_QC_feature_source_type,pose_contact_QC_score_status
A0A1V0DXT2,A0A1V0DXT2__V52_B0_e17adc42c5374f6446a4__compound5,V52_B0_e17adc42c5374f6446a4,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.629,61,0.719090,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A1V0DXT2__V52_B0_e17adc42c5374f6446a4.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A1V0DXT2/A0A1V0DXT2.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A1V0DXT2/A0A1V0DXT2.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6236,4.0,3.5,2.0,187,85,2,111,18,68,42,1.392,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A1V0DXW2,A0A1V0DXW2__V52_B0_edf056290b2bd93ce630__compound5,V52_B0_edf056290b2bd93ce630,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.309,8,0.858520,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A1V0DXW2__V52_B0_edf056290b2bd93ce630.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A1V0DXW2/A0A1V0DXW2.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A1V0DXW2/A0A1V0DXW2.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2452,4.0,3.5,2.0,189,80,2,105,20,71,44,1.419,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A449C3Z7,A0A449C3Z7__V52_B0_e0491d4f3d7d3df7cc92__compound5,V52_B0_e0491d4f3d7d3df7cc92,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.33,120,0.657781,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A449C3Z7__V52_B0_e0491d4f3d7d3df7cc92.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C3Z7/A0A449C3Z7.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C3Z7/A0A449C3Z7.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2160,4.0,3.5,2.0,267,116,1,156,13,74,47,1.608,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A449C440,A0A449C440__V52_B0_ed3d540e9b281f6de46c__compound5,V52_B0_ed3d540e9b281f6de46c,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.134,176,0.617593,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A449C440__V52_B0_ed3d540e9b281f6de46c.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C440/A0A449C440.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C440/A0A449C440.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2669,4.0,3.5,2.0,194,101,1,121,14,57,45,1.740,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A449C531,A0A449C531__V52_B0_a473da7455605014f629__compound5,V52_B0_a473da7455605014f629,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.899,28,0.774452,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A449C531__V52_B0_a473da7455605014f629.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C531/A0A449C531.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C531/A0A449C531.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6429,4.0,3.5,2.0,194,88,2,117,18,67,45,1.460,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A449C555,A0A449C555__V52_B0_5ab0ec1ff4be719d99fd__compound5,V52_B0_5ab0ec1ff4be719d99fd,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.044,200,0.599139,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A449C555__V52_B0_5ab0ec1ff4be719d99fd.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C555/A0A449C555.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C555/A0A449C555.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2505,4.0,3.5,2.0,170,90,1,86,20,59,42,1.871,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A449C5Q6,A0A449C5Q6__V52_B0_50c85654008871c8b9cf__compound5,V52_B0_50c85654008871c8b9cf,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.598,72,0.712733,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A449C5Q6__V52_B0_50c85654008871c8b9cf.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C5Q6/A0A449C5Q6.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C5Q6/A0A449C5Q6.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2279,4.0,3.5,2.0,208,91,3,130,15,71,41,1.651,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A449C5Z2,A0A449C5Z2__V52_B0_814e6a30a8cec12fad65__compound5,V52_B0_814e6a30a8cec12fad65,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.054,196,0.601189,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A449C5Z2__V52_B0_814e6a30a8cec12fad65.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C5Z2/A0A449C5Z2.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A449C5Z2/A0A449C5Z2.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2668,4.0,3.5,2.0,172,69,0,110,12,57,40,2.003,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
A0A6M3G9R6,A0A6M3G9R6__V52_B0_47ae88a6e130d5fe507c__compound5,V52_B0_47ae88a6e130d5fe507c,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.206,12,0.837400,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A6M3G9R6__V52_B0_47ae88a6e130d5fe507c.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A6M3G9R6/A0A6M3G9R6.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A6M3G9R6/A0A6M3G9R6.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2498,4.0,3.5,2.0,167,71,2,85,19,61,46,1.574,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A7D3UKK9,A0A7D3UKK9__V52_B0_fe003843f725cc65d2de__compound5,V52_B0_fe003843f725cc65d2de,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.655,58,0.724421,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A7D3UKK9__V52_B0_fe003843f725cc65d2de.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7D3UKK9/A0A7D3UKK9.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7D3UKK9/A0A7D3UKK9.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3728,4.0,3.5,2.0,166,62,3,96,18,65,39,1.796,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A7U4GE98,A0A7U4GE98__V52_B0_eeff15dfb7ab2760e3db__compound5,V52_B0_eeff15dfb7ab2760e3db,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.195,151,0.630100,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A7U4GE98__V52_B0_eeff15dfb7ab2760e3db.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7U4GE98/A0A7U4GE98.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7U4GE98/A0A7U4GE98.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,1542,4.0,3.5,2.0,209,99,0,121,17,71,41,2.015,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
A0A7U4GHF9,A0A7U4GHF9__V52_B0_fbf3d9e4a576d70660eb__compound5,V52_B0_fbf3d9e4a576d70660eb,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.981,23,0.791265,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A7U4GHF9__V52_B0_fbf3d9e4a576d70660eb.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7U4GHF9/A0A7U4GHF9.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7U4GHF9/A0A7U4GHF9.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3727,4.0,3.5,2.0,229,120,4,124,17,76,45,1.682,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A7U4JZS3,A0A7U4JZS3__V52_B0_213ae9594ccd596735cc__compound5,V52_B0_213ae9594ccd596735cc,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-6.704,344,0.529424,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A7U4JZS3__V52_B0_213ae9594ccd596735cc.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7U4JZS3/A0A7U4JZS3.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A7U4JZS3/A0A7U4JZS3.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2056,4.0,3.5,2.0,185,95,3,112,13,57,32,1.697,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A9P1PWH0,A0A9P1PWH0__V52_B0_06498fa95a8529a6e827__compound5,V52_B0_06498fa95a8529a6e827,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-8.532,3,0.904244,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A9P1PWH0__V52_B0_06498fa95a8529a6e827.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0A9P1PWH0/A0A9P1PWH0.v5_4_8h_6.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0A9P1PWH0/A0A9P1PWH0.v5_4_8h_6.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3537,4.0,3.5,2.0,236,103,0,143,25,77,55,2.121,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
A0AAD2UYA7,A0AAD2UYA7__V52_B0_992f5c237d53c9817f63__compound5,V52_B0_992f5c237d53c9817f63,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.5,89,0.692639,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAD2UYA7__V52_B0_992f5c237d53c9817f63.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAD2UYA7/A0AAD2UYA7.v5_4_8h_6.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAD2UYA7/A0AAD2UYA7.v5_4_8h_6.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,1342,4.0,3.5,2.0,203,107,3,124,14,66,36,1.299,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0AAE7CTI2,A0AAE7CTI2__V52_B0_89ea6bfef82cd651d3d4__compound5,V52_B0_89ea6bfef82cd651d3d4,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.193,154,0.629690,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0AAE7CTI2__V52_B0_89ea6bfef82cd651d3d4.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAE7CTI2/A0AAE7CTI2.v5_4_8h_6.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_6_segmented_vina_docking_segment/vina_runs/A0AAE7CTI2/A0AAE7CTI2.v5_4_8h_6.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,1741,4.0,3.5,2.0,186,74,1,108,17,65,45,1.902,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
