source_accession,G_pre1_target_engineering_composite_rank,G_pre1_target_engineering_composite_score
A0AAE9FQ04,125,0.534506
A0A6M3G876,126,0.534470
S5M7B3,127,0.533819
A0A449C608,128,0.533714
A0A7D3QML5,129,0.533683
A0AAX4Q195,130,0.533097
A0A0B4ZZM3,131,0.532897
A0A449C619,132,0.532666
I7LH90,133,0.532644
A0AAE9FKC7,134,0.532401
A1JNF1,135,0.531330
A0A7D3QJ92,136,0.530840
A0A6M3G874,137,0.530496
S5ML49,138,0.530145
A0A449C567,139,0.529901
A0AAE6YNJ4,140,0.529851
A0A6M3G8B9,141,0.529787
A0A3B8DYI1,142,0.529710
I7K3U3,143,0.529549
I7KRG5,144,0.529117
A0A1V0DXW6,145,0.529087
I7K349,146,0.528777
A0A449C4X7,147,0.528572
S5M3D7,148,0.528339
A0AAE9FSY2,149,0.527787
A0A7U4GCC7,150,0.527703
S5M7E4,151,0.527578
A0A449C3W7,152,0.527416
A0A449C5Z9,153,0.526956
S5ML17,154,0.526756
A0AAE9FRD5,155,0.525785
A0A2C9CZQ3,156,0.525670
A0AA86IYU9,157,0.525529
A0A2C9CYF4,158,0.525222
A0A3B8E1I5,159,0.524946
A0A7U4GG50,160,0.524850
I7J3Y3,161,0.524711
I7KRT2,162,0.524466
A0A7D3QKS7,163,0.523825
A0A1V0DXV4,164,0.523567
A0A7U4GDH6,165,0.523175
A0A0H3NQY6,166,0.523083
A0A449C532,167,0.522623
A0AAE7TQG4,168,0.522106
A0A449C648,169,0.521927
I7LF14,170,0.521844
A0A3B8DL36,171,0.521843
A0AAE7TR04,172,0.521478
A0AAE7PH03,173,0.521421
A0AAE6YNV4,174,0.520785
I6Q8T5,175,0.520537
A0A1V0DXR4,176,0.520516
F4N708,177,0.519959
A0A449C3X5,178,0.519835
A0AAE9JXJ1,179,0.518935
A0A449C469,180,0.518756
A0A449C5X9,181,0.518472
A0A449C542,182,0.518406
A0A3B8DYS4,183,0.517930
A0A449C597,184,0.517877
A0A0B5A4M1,185,0.517603
A0A0B5A2T1,186,0.517408
A0A7U4GDF9,187,0.516850
A0A3B8DYH7,188,0.516702
A0A2D0PDX6,189,0.515930
S5M7K0,190,0.515625
A0A7D3UL75,191,0.515410
A0AAE7V5W0,192,0.515398
A0A9P1PUV5,193,0.514869
A0AAE7S224,194,0.514626
A0ABP1YI01,195,0.514535
A0A449C541,196,0.513276
A0A2C9CYV8,197,0.513064
A0A0B4ZZK4,198,0.513016
A0ABP1YEP8,199,0.512639
A0AAE9FQP6,200,0.512231
A0AAE7V7A7,201,0.511788
A0AA86J4Z9,202,0.511711
A0AAX4M766,203,0.511169
A0AAX4M771,204,0.511108
A0A0B4ZXG6,205,0.510424
A0AAE9FPR6,206,0.510063
A1JK73,207,0.508606
A0AA86J574,208,0.508458
I7KRB0,209,0.507909
A0AAE6YPB5,210,0.507712
A0A6M3G945,211,0.507499
S5MRE0,212,0.507286
A0AAE9FV72,213,0.506936
A0A3B8E5R1,214,0.506665
A0AAE9FSV4,215,0.506527
A0ABP1XZ23,216,0.506451
I7LEG3,217,0.506166
A0A9P1UYK8,218,0.505745
A0ABM9SIE6,219,0.505562
A0A449C473,220,0.505216
A0A7U4GE85,221,0.505059
A0A7D3V4S6,222,0.504989
A0A2D0PDR4,223,0.504706
A0A7T9XT11,224,0.504372
A0AAE9JYN2,225,0.503852
A1JNA9,226,0.503453
A0AAE9JW72,227,0.503322
A0A9P1PT53,228,0.502787
I7LEN8,229,0.502486
Q858V3,230,0.502191
A0ABP1YG46,231,0.501838
A0A0H3NU55,232,0.500641
A0A449C3Q7,233,0.500589
A0A449C610,234,0.500528
A0ABP1YH51,235,0.500372
A0A2D0PE26,236,0.500274
A0A0H5HBD5,237,0.499945
A0ABM9S2F3,238,0.499888
A0ABM9S2J3,239,0.499863
A0A6M3G872,240,0.499533
A0A0H5GK99,241,0.499244
A0A0H3NQF5,242,0.498712
A0AAE9FL40,243,0.496944
A0A2H1UJ90,244,0.496800
A0A6M3G8P6,245,0.496633
A0A0B5A2L0,246,0.496488
A0A449C6B2,247,0.495705
A0A0H5H8V4,248,0.494883
F4N731,249,0.494357
A0A7U4K299,250,0.494170
A0A9P1PUI1,251,0.493773
A0ABM9S1Y8,252,0.493220
A0AAD2Z2V4,253,0.492962
A0AAD2Z484,254,0.489587
A0ABM9SIR4,255,0.489487
A0A9P1PVU6,256,0.489471
A0ABP1Y817,257,0.488909
A0A449C4V3,258,0.488647
F4N725,259,0.488255
A0A7U4GDF4,260,0.487408
A0A3G8F0J9,261,0.486959
A0A2H1UJE7,262,0.486876
A0AAD2V1D7,263,0.486818
A0A0H5H5S4,264,0.485525
A0A7U0AV15,265,0.484725
A0A0H5HAG0,266,0.483608
F2Q846,267,0.483504
A0AAD2Z5G5,268,0.482656
A0AAT9S9R9,269,0.482592
A0A2D0PDA0,270,0.482212
A0AAD2UW33,271,0.481512
A0A0H5G2H5,272,0.481090
A0A7T9XU34,273,0.481050
A0A0T7P7W8,274,0.481037
A1JK75,275,0.480786
A0ABP1Y7A6,276,0.479709
A0ABM9S4S5,277,0.479381
A0A7T9XU28,278,0.479307
A0A7U4GEA5,279,0.478699
A0A7U0ASF4,280,0.478691
A1JMQ3,281,0.478182
A0ABP1Y442,282,0.477926
A0A0T7PAJ5,283,0.477410
A0A9P1V089,284,0.475935
A0A0H5EYN4,285,0.472940
A0A0H5GK90,286,0.472875
A0A9P1PUD9,287,0.472414
A0A7U4K0Q6,288,0.472150
A0A0H5H5L7,289,0.472065
S5M3A2,290,0.471144
A0A9P1PW91,291,0.471103
A0ABM9SIJ1,292,0.471001
A0A7U0AT10,293,0.470822
A0A7U0AVA4,294,0.470806
A0A9P1PWI0,295,0.470735
A1JND9,296,0.469689
A0A0T7PAK2,297,0.469247
A0A7U0AWS6,298,0.467953
A0ABP1YED8,299,0.467747
A0A9P1V3L8,300,0.466992
A0A9P1PV32,301,0.465101
A0A449C694,302,0.463744
A0A7U4K153,303,0.463029
A0A2H1X986,304,0.462491
A0A0H5H701,305,0.461647
A0ABP1YGH5,306,0.461440
A0A9P1UYL2,307,0.460682
A0AAD2Z3Y9,308,0.460362
A0A0H5HA66,309,0.460304
A0A0T9PR46,310,0.459735
A0ABM9S4S8,311,0.458854
A0A9P1PT68,312,0.458363
A0A9P1V1H6,313,0.453939
A0A857F0P1,314,0.451948
F4N727,315,0.450100
A0AB73QMA1,316,0.448617
A0AAD2Z8P4,317,0.447322
A0A0H5LRI9,318,0.445236
A0A0B4ZZ77,319,0.444115
A0AAD2UW21,320,0.441884
A0A0H5H5S7,321,0.440792
A0A0T9Q3J3,322,0.437663
A0A0T9PX62,323,0.437311
A0AAW7K9U6,324,0.436697
A0A0H3B5E1,325,0.436121
A0A0T9QCI9,326,0.435480
A0ABX5QXK4,327,0.434274
A0A0T9RET2,328,0.434009
A0AAD2Z3C0,329,0.432584
A0ABM9Y807,330,0.431836
A0AAV3BI89,331,0.431539
A0ABM9SSL7,332,0.428809
A0ABM9TCZ7,333,0.428595
A0A0H3B6N5,334,0.428213
A0AA36LLT8,335,0.427940
A0A0T9UVK0,336,0.427528
A0A0T9KM81,337,0.427500
A0ABM9Y805,338,0.426627
A0AB73PI84,339,0.425783
A0A0E1NTH1,340,0.425604
A0ABW9EXB2,341,0.425465
A0AB72ZKZ2,342,0.424921
A0A0T9KX64,343,0.424167
Q66BM0,344,0.423770
A0AAI8ZUU9,345,0.423715
A0ABM6UUX5,346,0.423528
A0ABP2EH72,347,0.423425
A0A0A8VKM3,348,0.423045
A0AA36LPU1,349,0.422967
A0A0T9LS41,350,0.422318
A0A0H3B6E3,351,0.421966
A0AB72ZMY1,352,0.421159
A0A0T9MH64,353,0.420777
A0A2G4U2G2,354,0.420393
A0ABX5R0C5,355,0.420296
A0ABM9XWV8,356,0.419834
A0ABM7AH44,357,0.419820
A0A380PQB1,358,0.419625
A0ABY5UJG2,359,0.419267
A0A0H3B4K0,360,0.419142
A0AA36LNC6,361,0.418983
A0A0T9TRC6,362,0.418810
A0A0H3B3D7,363,0.418365
A0A380PNY7,364,0.417724
A0ABM6UP52,365,0.417613
A0A380PNE2,366,0.417606
A0ABM9TDA6,367,0.417494
A0ABM9TCS0,368,0.417424
A0A0H5M9D5,369,0.416959
A0A085U5Z0,370,0.416760
A0AAV3B8C3,371,0.416571
A0A0T9QDU9,372,0.416177
A1JQS5,373,0.416164
A0ABW9EYQ1,374,0.416021
A0AAX2I043,375,0.414547
A0A208ZSG0,376,0.414236
A0AA90Y526,377,0.413912
A0A380QTF7,378,0.413756
A0A085U317,379,0.413292
A0A2U2GXH7,380,0.412969
A0ABR4W9H6,381,0.412908
A0AB72ZDV0,382,0.412701
A0ABR4VWS1,383,0.412646
A0AB73Q5K2,384,0.412544
A0A0T9UHA7,385,0.412456
A0A0U1R2N4,386,0.412186
A0A380PNP9,387,0.412121
A0A0T9QV26,388,0.412074
A0ABM9XUV6,389,0.411565
A0A0T9PYB4,390,0.411365
A0ABM6BHQ6,391,0.410698
A0A0H3B678,392,0.410664
A0A0U1QVC6,393,0.410585
A0AA90XZS1,394,0.410372
A0A0H3B1B9,395,0.410155
A0AB73Q656,396,0.409821
A0A209A9L1,397,0.409703
A0ABM5UHV5,398,0.409590
A0AB72ZL33,399,0.409542
A0A2G4TYK3,400,0.409420
A0ABR4W5R8,401,0.409349
A0A0A8VDN9,402,0.409254
A0AAI8ZVG7,403,0.409108
A0A0H5MHG7,404,0.408611
A0AAX2I0L3,405,0.408596
A0AA36PIC1,406,0.408425
A0AAV3BAT5,407,0.408210
A0ABM6UW81,408,0.407722
A0ABX5R0V5,409,0.407373
A0A0T9MSU1,410,0.407296
A0ABP1Z8F7,411,0.406648
A0AB73QHN9,412,0.406601
A0AB73NKW1,413,0.406504
A0AAV3B8C2,414,0.406497
A0AB73PP81,415,0.406341
A0A0T9LN66,416,0.406309
A0ABM7AGN3,417,0.405833
A0ABM5U8M7,418,0.405652
A0ABN4CNM4,419,0.405603
A0A0T9RQ76,420,0.405461
A0ABX6FH78,421,0.405307
A0A380PNA2,422,0.404882
A0AA44I1R7,423,0.404769
A0ABP2DZT0,424,0.404223
A0ABY5UX71,425,0.404066
A0AB73QFS4,426,0.403876
A0A380PUT3,427,0.403779
A0A085U7Z9,428,0.403699
A0A208ZSG3,429,0.403520
A0ABM9TGV0,430,0.403441
A0AA44CPT5,431,0.403161
A0A0T9KLV1,432,0.403068
A0ABW9ETP4,433,0.403030
A0A0E1NNL7,434,0.402858
A0A0U1QWC7,435,0.402625
A0ABM9STX9,436,0.402522
A0A380QTH7,437,0.402499
A0ABM6UUN8,438,0.401800
A0A2G4U293,439,0.401709
A0ABM5SR09,440,0.401682
Q666T9,441,0.401674
A0A0T9QEA5,442,0.401638
A0AA44CIX0,443,0.401313
A0ABM7ANK9,444,0.401240
A0ABR4VY47,445,0.401236
A0A0H2W1J5,446,0.400794
A0AB73PZQ4,447,0.400691
A0ABP1YSK3,448,0.400342
A0AAW7JSQ1,449,0.400197
A0ABM9YBE2,450,0.400156
A0ABM9TGR4,451,0.399959
A0ABY5UV58,452,0.399714
A0ABP1ZGZ5,453,0.399475
A0A0H2YKF3,454,0.399370
A0AA44CIM3,455,0.399194
Q66BC8,456,0.399146
A0ABM9SZ95,457,0.399138
A0AA36LM82,458,0.399095
A0AB73PEI7,459,0.398911
A0A380PP39,460,0.398743
A0A0T9RKA1,461,0.398436
A0A0H3B6E0,462,0.398432
A0ABM5U8N2,463,0.398355
A0ABW9EWX0,464,0.398120
A0ABP1Y7W3,465,0.398050
A0ABN4PWA2,466,0.397752
A0ABM5UH14,467,0.397693
A0A0T9KKA0,468,0.397649
Q66CW5,469,0.397297
A0A380Q814,470,0.397207
A0A0E1NX19,471,0.397132
A0ABM9Y7R4,472,0.396778
A0ABN4PV81,473,0.396710
A0ABM7ALJ4,474,0.396653
A0A857EWU7,475,0.396414
A0A0T9UMM8,476,0.396348
A0A0A8VIE2,477,0.396337
A0ABP1YWJ1,478,0.395954
A0A0H3AWU3,479,0.395951
A0AA90XTP7,480,0.395927
A0ABR4W506,481,0.395882
A0A0T9KYN8,482,0.395829
A0A0E1NTB1,483,0.395797
A0AAW7JU40,484,0.395712
A0ABM5U8P4,485,0.395264
A0ABM9TMK5,486,0.395018
A0AA36LQN9,487,0.394863
A0ABR4W522,488,0.394618
A0AB73P4D7,489,0.394589
A0A380Q9X7,490,0.394510
A0AAW7K6S3,491,0.394465
A0A0T9PX89,492,0.394156
A0A0T9LN06,493,0.394146
A0A0T9KYN4,494,0.394062
A0ABM9TUX3,495,0.393752
A0AA44CIL6,496,0.393745
A0A0U1QX07,497,0.393583
A0A380Q7B5,498,0.393252
A0A208ZGJ0,499,0.393205
A0A0T9LN23,500,0.393088
A0ABM6UP56,501,0.393058
A0A0T9QDA1,502,0.392913
Q666U1,503,0.392527
A0ABM7ANU6,504,0.392517
A0AAV3BFB4,505,0.392409
A0AA44I1K4,506,0.392109
A0AB73Q1P8,507,0.392073
A0A0H2YL52,508,0.391932
A0A0T9QE48,509,0.391842
Q66CW9,510,0.391825
A0ABM6UNY3,511,0.391747
A0ABX5R0U9,512,0.391704
A0A0H3AYM7,513,0.391630
A0A0T9UM98,514,0.391608
A0ABR4W6F7,515,0.391509
A0A0H2Y6N9,516,0.391493
A0AA44CKU4,517,0.391423
A0ABW9EXU6,518,0.391125
A0A0H3B0A7,519,0.391120
Q66BF1,520,0.390975
A0AB73NKK6,521,0.390642
A0ABM6UX29,522,0.390619
A0A380Q8N6,523,0.390594
A0ABX6FD19,524,0.390456
A0A857EWT6,525,0.390155
A0ABP1ZEA7,526,0.390146
A0A380Q4G1,527,0.389976
A0ABN4FAB0,528,0.389794
Q66BC4,529,0.389717
A0ABY5UJR0,530,0.389659
A0A0T9LR98,531,0.389532
A0ABX5QYD3,532,0.389224
A0AB73NQS2,533,0.388891
A0A0T9N2B7,534,0.388861
A0AAI8ZTY6,535,0.388736
A0ABP1YVJ3,536,0.388706
A0ABM6UTV9,537,0.388653
A0A0T9Q3M1,538,0.388600
A0A857F2M2,539,0.388534
Q8D1M8,540,0.388231
A0A0T9PT88,541,0.387931
A0A0T9KM71,542,0.387858
A0A0T9RK55,543,0.387768
A0A5P8YE56,544,0.387754
A0A0T9QGW8,545,0.387719
A0ABP1ZLC4,546,0.387718
A0A0T9QY81,547,0.387428
A0ABR4W4S9,548,0.387398
A0ABM5U8N9,549,0.387396
A0AA36PLD9,550,0.387053
A0ABX6F3U1,551,0.386882
A0A0H2W3V2,552,0.386802
A0AA36LNQ9,553,0.386683
A0A2G4U6E8,554,0.386668
A0ABN4CUZ1,555,0.386604
A0ABW9EZG0,556,0.386337
A0A0U1QUW3,557,0.386286
A0ABX6F9M0,558,0.386244
A0ABN4F8Y2,559,0.385918
A0AA90XTS9,560,0.385716
A0AA44CL49,561,0.385659
A0AA36LIH7,562,0.385485
A0A0T9KXM0,563,0.385322
Q66BN2,564,0.385319
A0ABM9XUU0,565,0.385087
A0ABP2DXX8,566,0.384980
A0A208ZSF8,567,0.384948
A0A208ZSS5,568,0.384828
A0A380PTJ1,569,0.384682
A0AA36LSX5,570,0.384647
A0A0T9PTD3,571,0.384574
A0ABM6BHL4,572,0.384349
A0AA36PL17,573,0.384332
A0A380Q3T2,574,0.384328
A0A0T9PR09,575,0.384303
A0A2G4U6D9,576,0.384267
A0ABP1Z7N4,577,0.384235
A0ABM9SY22,578,0.384202
A0AAV3BFY5,579,0.384176
A0ABM9TCW2,580,0.384117
B6CGX2,581,0.384062
A0A380PPA0,582,0.384002
A0A2G4U294,583,0.383803
A0ABX6F8L7,584,0.383743
A0A0T9QCY7,585,0.383654
A0ABN4PWW7,586,0.383652
A0ABM6BJY1,587,0.383650
A0A0H3B5G2,588,0.383282
A0ABM5Q137,589,0.383277
A0ABM5SKZ0,590,0.383222
A0A0U1QW74,591,0.383134
A0ABY5UJQ0,592,0.383013
A0A0U1HX05,593,0.382855
A0AAX2HZP5,594,0.382713
A0A0T9KKF4,595,0.382656
A0A0T9QHF4,596,0.382638
A0A0U1R055,597,0.382562
A0AB72ZSW9,598,0.382526
A0A2A7VG50,599,0.382381
A0ABM5Q0I6,600,0.382347
A0A380PP26,601,0.382078
A0ABM5UGZ3,602,0.382020
A0ABM9TW88,603,0.381810
A0ABP1YW71,604,0.381771
A0A0T9QDB9,605,0.381769
A0ABP2E2L7,606,0.381541
A0ABM9Y7W9,607,0.381511
A0ABW9EY82,608,0.381328
A0AA44CMJ6,609,0.381269
A0AB73P877,610,0.381252
A0AA90XYJ4,611,0.381199
A0ABM9XWU7,612,0.381191
A0A0T9N293,613,0.381119
A0AB73NNK1,614,0.381003
A0AA44CQ33,615,0.380770
A0ABW9ETP1,616,0.380646
A0ABR4W680,617,0.380587
A0A0T9RK20,618,0.380484
A0A380PRV1,619,0.380435
A0A0T9KKH2,620,0.380289
A0A380QJL7,621,0.380281
A0ABM6BJA0,622,0.380204
A0A0H3B592,623,0.380180
A0ABN4H4Y5,624,0.379974
A0A0T9TRH4,625,0.379670
A0ABM6BHF9,626,0.379610
A0A209AAW7,627,0.379351
A0AA91BG92,628,0.379148
A0A380Q9K9,629,0.379078
A0ABM5SPQ0,630,0.378889
A0ABM5ST74,631,0.378851
A0AAV3BFT4,632,0.378652
Q66BC6,633,0.378503
A0A0T9RLX7,634,0.378077
A0ABN4CQH5,635,0.378023
A0AB73Q5E6,636,0.377988
A0A0U1QXU2,637,0.377707
A0AB73PBS8,638,0.377526
A0ABM5Q1D7,639,0.377512
A0ABP1Z8M7,640,0.377448
A0A380QDK2,641,0.377355
Q7CIG2,642,0.376944
A0ABP2ED01,643,0.376766
A0ABX5QZM3,644,0.376687
A0ABM9ST81,645,0.376650
A0AB73NFU9,646,0.376628
A0AA44CIR8,647,0.376543
A0ABP1Y756,648,0.376476
Q66BM2,649,0.376442
A0AAX2I0V1,650,0.376418
A0ABM5UH09,651,0.376365
A0A0T9UVW1,652,0.376363
A0A0T9KME1,653,0.376290
A0A0T9RC84,654,0.376272
A0ABM9XX67,655,0.376204
A0A0T9KKM2,656,0.376170
A0ABM5PZP9,657,0.376166
A0ABP2EGX4,658,0.376144
A0AB73NNV4,659,0.376142
A0A0T9PN75,660,0.376137
A0AB72ZRU6,661,0.376022
A0ABW9EZJ2,662,0.375987
A0AB73PN87,663,0.375833
A0A0T9RLI7,664,0.375821
A0ABM6BKQ9,665,0.375722
A0A0T9KM28,666,0.375426
A0ABM9SYN9,667,0.374959
Q66CW3,668,0.374911
A0AB73NNI1,669,0.374442
Q66CW8,670,0.374417
A0ABM9TBF6,671,0.374115
A0AAW7K4V6,672,0.373517
A0ABM6UUY9,673,0.373490
A0ABM9SSJ6,674,0.373381
A0ABM6BHZ0,675,0.373374
A0A0T9P2Y6,676,0.373322
A0ABM9TZ37,677,0.373319
A0AA36LM41,678,0.373225
A0ABP1ZYM0,679,0.373211
A0A380QV68,680,0.373052
A0A380QB56,681,0.372927
A0ABP1Y4A2,682,0.372874
A0AA44HZF8,683,0.372854
A0ABM5Q168,684,0.372381
A0A0T9UVB9,685,0.372348
A0A0K1H0L3,686,0.372236
A0AA44CIT3,687,0.372001
A0ABM9SWE1,688,0.371990
A0A380PNK7,689,0.371248
A0A0T9RLY2,690,0.371171
A0AA36PKW6,691,0.371085
A0A0T9UVI4,692,0.370782
A0AA36LMJ6,693,0.370674
A0ABX5QZN1,694,0.370613
A0A208ZGJ5,695,0.370433
A0A857F0P9,696,0.370224
A0A0T9KLZ3,697,0.370006
A0A0T9TRJ0,698,0.369757
A0ABM7ANH7,699,0.369608
A0ABN5RBQ6,700,0.369558
A0A0T9RKV0,701,0.369481
A0A0T9UMV0,702,0.369434
A0ABX5QZY2,703,0.369378
A0A0T9KZA2,704,0.369316
A0AB72ZN12,705,0.369206
A0ABN4F2B0,706,0.368844
A0ABN4PY35,707,0.368625
A0A380PRL5,708,0.368191
A0ABM6UNY7,709,0.368103
A0A380PNL7,710,0.368041
A0A0T9UVN8,711,0.367901
A0A0T9QEH2,712,0.367885
A0A2R4NRD1,713,0.367745
A0AA36LLP1,714,0.367502
A0AB73Q6N8,715,0.367471
A0ABW9EZD5,716,0.367462
A0ABM9TKC9,717,0.367443
A0ABX5QX18,718,0.367377
A0AAV3BF90,719,0.367326
A0A0T9QWS2,720,0.367069
A0ABP1YDG7,721,0.367039
A0ABR4W6J9,722,0.367023
A0A0T9UVJ2,723,0.366831
A0A0T9RMJ4,724,0.366828
A0A0T9RLS7,725,0.366573
A0ABP1YU38,726,0.366360
A0A0T9UMT9,727,0.365699
A0ABN4PP01,728,0.365686
A0A0T9QQ84,729,0.365591
A0A0H5LRG1,730,0.365541
A0A0H5LRI4,731,0.365157
A0A0T9QYU5,732,0.364692
A0A0T9KZ32,733,0.364503
A0A2G4U3T2,734,0.364285
A0A0U1HXL6,735,0.364106
A0ABN4PNK0,736,0.363894
A0AA44CMJ2,737,0.363851
A0A0T9RLV1,738,0.363789
A0AA36LNC2,739,0.363712
A0A0T9RPC1,740,0.363481
A0AA36LUV4,741,0.363229
A0A0H3B0N5,742,0.362505
A0ABP1YU19,743,0.362441
A0A0T9KKL7,744,0.362411
A0ABP2E0A1,745,0.362396
A0ABW9EZ05,746,0.362382
A0ABM6UY29,747,0.362361
A0A380PUP1,748,0.362070
A0A380QEC0,749,0.361834
A0A857EZE8,750,0.361737
A0A3G5LJP4,751,0.361602
A0A085U312,752,0.361379
A0ABM6BL24,753,0.361240
A0ABM9SU56,754,0.361113
A0ABM5Q170,755,0.360258
A0ABM6BR49,756,0.359995
A0A0T9QWQ1,757,0.359783
A0A0H2YGI6,758,0.358694
A0A0H3B4F8,759,0.358636
A0AB73P3H5,760,0.358510
A0A0T9JTP2,761,0.358493
A0A0T9R7L9,762,0.358079
A0A0H3AZK0,763,0.358064
A0A0T9TSE5,764,0.357715
A0AB72ZFA0,765,0.357629
A0ABM7ANY7,766,0.357543
A0AA36LKR2,767,0.357425
A0ABN5RAB4,768,0.357404
A0A380Q790,769,0.357010
A0ABX6FDR8,770,0.356954
A0A2G4U6F2,771,0.356738
A0A0T9QH70,772,0.356247
A0A0H3B283,773,0.356232
A0ABN5RAC2,774,0.356180
A0A0T9JTR0,775,0.355946
A0AA44CKU8,776,0.355728
A0ABN4CUU3,777,0.355172
A0ABR4VWZ7,778,0.354887
A0A0T9RSX1,779,0.354267
A0A0T9QZG9,780,0.353524
A0ABY5ULB5,781,0.353226
A0A0T9KM84,782,0.353187
A0A0T9QVI5,783,0.352563
A0A0T9RG16,784,0.352409
A0ABP2ECT0,785,0.352190
A0ABM9SZ17,786,0.351138
A0A0E1NQK2,787,0.351032
A0AAX2I8P7,788,0.350731
Q7BTW6,789,0.349467
A0ABP1ZYW2,790,0.349031
Q66CW2,791,0.348983
A0AA36LJG1,792,0.348063
A0ABM5UH02,793,0.347077
A0AA36PPQ7,794,0.346163
A0A0H2YNL1,795,0.345919
A0AA90XRZ3,796,0.344907
A0A0T9QD11,797,0.344642
A0ABP1ZSE7,798,0.344444
A0ABX6FAJ5,799,0.344146
A0A0T9UMN3,800,0.344067
Q8D0C0,801,0.343668
A0A0T9QMF1,802,0.343604
A0A0U1R2K8,803,0.343579
A0AA36LJU6,804,0.343454
A0AA36LI15,805,0.343347
A0A0K1H0S6,806,0.342460
A0A0T9UVK2,807,0.342341
A0A857F028,808,0.341933
A0A0H3B6G4,809,0.341701
A0A208ZVY5,810,0.339589
A0ABN5RCP6,811,0.338535
A0A0T9UMW7,812,0.338461
A0AB72ZRU3,813,0.336852
