accession,frozen_rank,top1_frequency,top5_frequency,top10_frequency,top50_frequency
A0A0B5A4J3,88,0.000000,0.000000,0.000000,0.000000
A0A449C6D2,89,0.000000,0.000000,0.000000,0.000000
A0A0B5A2V7,90,0.000000,0.000000,0.000000,0.000000
A0A449C638,91,0.000000,0.000000,0.000000,0.000000
A0A449C6B7,92,0.000000,0.000000,0.000000,0.000000
A0A6M3G916,93,0.000000,0.000000,0.000000,0.000000
S5M3A7,94,0.000000,0.000000,0.000000,0.000000
I7K354,95,0.000000,0.000000,0.000000,0.000000
A0A7D3QKX7,96,0.000000,0.000000,0.000000,0.000000
A0A449C4D0,97,0.000000,0.000000,0.000000,0.000000
A0A7D3V1W8,98,0.000000,0.000000,0.000000,0.000000
A0A0B5A2N3,99,0.000000,0.000000,0.000000,0.000000
A0A449C3T4,100,0.000000,0.000000,0.000000,0.000000
A0AAX4M7A4,101,0.000000,0.000000,0.000000,0.000000
A0AAX4Q2U9,102,0.000000,0.000000,0.000000,0.000000
A0AAD2UWV2,103,0.000000,0.000000,0.000000,0.007900
A0A0H3NZ59,104,0.000000,0.000000,0.000000,0.000000
I7KRU3,105,0.000000,0.000000,0.000000,0.000000
A0A7D3QQ81,106,0.000000,0.000000,0.000000,0.000000
A0AAE7V728,107,0.000000,0.000000,0.000000,0.000000
A0AAE9FLD0,108,0.000000,0.000000,0.000000,0.000000
A0A1V0DXX1,109,0.000000,0.000000,0.000000,0.000000
A0AAX4M7M8,110,0.000000,0.000000,0.000000,0.000000
A0A7T9XU25,111,0.000000,0.000000,0.000000,0.012400
A0A449C5D9,112,0.000000,0.000000,0.000000,0.000000
A0A0H3NP24,113,0.000000,0.000000,0.000000,0.000000
A0A3B8DLI7,114,0.000000,0.000000,0.000000,0.000000
A0A1V0DXS1,115,0.000000,0.000000,0.000000,0.000000
A0A2D0PCZ8,116,0.000000,0.000000,0.000000,0.000000
A0A449C3Q1,117,0.000000,0.000000,0.000000,0.000000
A0A2D0PE10,118,0.000000,0.000000,0.000000,0.000000
A0A0H3NSE3,119,0.000000,0.000000,0.000000,0.000000
A0A2H1X991,120,0.000000,0.000000,0.000000,0.000000
A0A6M3G8D1,121,0.000000,0.000000,0.000000,0.000000
A0AAE6YPH1,122,0.000000,0.000000,0.000000,0.000000
A0AAE9FRR2,123,0.000000,0.000000,0.000000,0.000000
A0AA51VJM6,124,0.000000,0.000000,0.000000,0.000000
A0AAE9FQ04,125,0.000000,0.000000,0.000000,0.000000
A0A6M3G876,126,0.000000,0.000000,0.000000,0.000000
S5M7B3,127,0.000000,0.000000,0.000000,0.000000
A0A449C608,128,0.000000,0.000000,0.000000,0.000000
A0A7D3QML5,129,0.000000,0.000000,0.000000,0.000000
A0AAX4Q195,130,0.000000,0.000000,0.000000,0.000000
A0A0B4ZZM3,131,0.000000,0.000000,0.000000,0.000000
A0A449C619,132,0.000000,0.000000,0.000000,0.000000
I7LH90,133,0.000000,0.000000,0.000000,0.000000
A0AAE9FKC7,134,0.000000,0.000000,0.000000,0.000000
A1JNF1,135,0.000000,0.000000,0.000000,0.000000
A0A7D3QJ92,136,0.000000,0.000000,0.000000,0.000000
A0A6M3G874,137,0.000000,0.000000,0.000000,0.000000
S5ML49,138,0.000000,0.000000,0.000000,0.000000
A0A449C567,139,0.000000,0.000000,0.000000,0.000000
A0AAE6YNJ4,140,0.000000,0.000000,0.000000,0.000000
A0A6M3G8B9,141,0.000000,0.000000,0.000000,0.000000
A0A3B8DYI1,142,0.000000,0.000000,0.000000,0.000000
I7K3U3,143,0.000000,0.000000,0.000000,0.000000
I7KRG5,144,0.000000,0.000000,0.000000,0.000000
A0A1V0DXW6,145,0.000000,0.000000,0.000000,0.000000
I7K349,146,0.000000,0.000000,0.000000,0.000000
A0A449C4X7,147,0.000000,0.000000,0.000000,0.000000
S5M3D7,148,0.000000,0.000000,0.000000,0.000000
A0AAE9FSY2,149,0.000000,0.000000,0.000000,0.000000
A0A7U4GCC7,150,0.000000,0.000000,0.000000,0.000000
S5M7E4,151,0.000000,0.000000,0.000000,0.000000
A0A449C3W7,152,0.000000,0.000000,0.000000,0.000000
A0A449C5Z9,153,0.000000,0.000000,0.000000,0.000000
S5ML17,154,0.000000,0.000000,0.000000,0.000000
A0AAE9FRD5,155,0.000000,0.000000,0.000000,0.000000
A0A2C9CZQ3,156,0.000000,0.000000,0.000000,0.000000
A0AA86IYU9,157,0.000000,0.000000,0.000000,0.000000
A0A2C9CYF4,158,0.000000,0.000000,0.000000,0.000000
A0A3B8E1I5,159,0.000000,0.000000,0.000000,0.000000
A0A7U4GG50,160,0.000000,0.000000,0.000000,0.000000
I7J3Y3,161,0.000000,0.000000,0.000000,0.000000
I7KRT2,162,0.000000,0.000000,0.000000,0.000000
A0A7D3QKS7,163,0.000000,0.000000,0.000000,0.000000
A0A1V0DXV4,164,0.000000,0.000000,0.000000,0.000000
A0A7U4GDH6,165,0.000000,0.000000,0.000000,0.000000
A0A0H3NQY6,166,0.000000,0.000000,0.000000,0.000000
A0A449C532,167,0.000000,0.000000,0.000000,0.000000
A0AAE7TQG4,168,0.000000,0.000000,0.000000,0.000000
A0A449C648,169,0.000000,0.000000,0.000000,0.000000
I7LF14,170,0.000000,0.000000,0.000000,0.000000
A0A3B8DL36,171,0.000000,0.000000,0.000000,0.000000
A0AAE7TR04,172,0.000000,0.000000,0.000000,0.000000
A0AAE7PH03,173,0.000000,0.000000,0.000000,0.000000
A0AAE6YNV4,174,0.000000,0.000000,0.000000,0.000000
I6Q8T5,175,0.000000,0.000000,0.000000,0.000000
A0A1V0DXR4,176,0.000000,0.000000,0.000000,0.000000
F4N708,177,0.000000,0.000000,0.000000,0.000000
A0A449C3X5,178,0.000000,0.000000,0.000000,0.000000
A0AAE9JXJ1,179,0.000000,0.000000,0.000000,0.000000
A0A449C469,180,0.000000,0.000000,0.000000,0.000000
A0A449C5X9,181,0.000000,0.000000,0.000000,0.000000
A0A449C542,182,0.000000,0.000000,0.000000,0.000000
A0A3B8DYS4,183,0.000000,0.000000,0.000000,0.000000
A0A449C597,184,0.000000,0.000000,0.000000,0.000000
A0A0B5A4M1,185,0.000000,0.000000,0.000000,0.000000
A0A0B5A2T1,186,0.000000,0.000000,0.000000,0.000000
A0A7U4GDF9,187,0.000000,0.000000,0.000000,0.000000
A0A3B8DYH7,188,0.000000,0.000000,0.000000,0.000000
A0A2D0PDX6,189,0.000000,0.000000,0.000000,0.000000
S5M7K0,190,0.000000,0.000000,0.000000,0.000000
A0A7D3UL75,191,0.000000,0.000000,0.000000,0.000000
A0AAE7V5W0,192,0.000000,0.000000,0.000000,0.000000
A0A9P1PUV5,193,0.000000,0.000000,0.000000,0.000000
A0AAE7S224,194,0.000000,0.000000,0.000000,0.000000
A0ABP1YI01,195,0.000000,0.000000,0.000000,0.000000
A0A449C541,196,0.000000,0.000000,0.000000,0.000000
A0A2C9CYV8,197,0.000000,0.000000,0.000000,0.000000
A0A0B4ZZK4,198,0.000000,0.000000,0.000000,0.000000
A0ABP1YEP8,199,0.000000,0.000000,0.000000,0.000000
A0AAE9FQP6,200,0.000000,0.000000,0.000000,0.000000
A0AAE7V7A7,201,0.000000,0.000000,0.000000,0.000000
A0AA86J4Z9,202,0.000000,0.000000,0.000000,0.000000
A0AAX4M766,203,0.000000,0.000000,0.000000,0.000000
A0AAX4M771,204,0.000000,0.000000,0.000000,0.000000
A0A0B4ZXG6,205,0.000000,0.000000,0.000000,0.000000
A0AAE9FPR6,206,0.000000,0.000000,0.000000,0.000000
A1JK73,207,0.000000,0.000000,0.000000,0.000000
A0AA86J574,208,0.000000,0.000000,0.000000,0.000000
I7KRB0,209,0.000000,0.000000,0.000000,0.000000
A0AAE6YPB5,210,0.000000,0.000000,0.000000,0.000000
A0A6M3G945,211,0.000000,0.000000,0.000000,0.000000
S5MRE0,212,0.000000,0.000000,0.000000,0.000000
A0AAE9FV72,213,0.000000,0.000000,0.000000,0.000000
A0A3B8E5R1,214,0.000000,0.000000,0.000000,0.000000
A0AAE9FSV4,215,0.000000,0.000000,0.000000,0.000000
A0ABP1XZ23,216,0.000000,0.000000,0.000000,0.000000
I7LEG3,217,0.000000,0.000000,0.000000,0.000000
A0A9P1UYK8,218,0.000000,0.000000,0.000000,0.000000
A0ABM9SIE6,219,0.000000,0.000000,0.000000,0.000000
A0A449C473,220,0.000000,0.000000,0.000000,0.000000
A0A7U4GE85,221,0.000000,0.000000,0.000000,0.000000
A0A7D3V4S6,222,0.000000,0.000000,0.000000,0.000000
A0A2D0PDR4,223,0.000000,0.000000,0.000000,0.000000
A0A7T9XT11,224,0.000000,0.000000,0.000000,0.000000
A0AAE9JYN2,225,0.000000,0.000000,0.000000,0.000000
A1JNA9,226,0.000000,0.000000,0.000000,0.000000
A0AAE9JW72,227,0.000000,0.000000,0.000000,0.000000
A0A9P1PT53,228,0.000000,0.000000,0.000000,0.000000
I7LEN8,229,0.000000,0.000000,0.000000,0.000000
Q858V3,230,0.000000,0.000000,0.000000,0.000000
A0ABP1YG46,231,0.000000,0.000000,0.000000,0.000000
A0A0H3NU55,232,0.000000,0.000000,0.000000,0.000000
A0A449C3Q7,233,0.000000,0.000000,0.000000,0.000000
A0A449C610,234,0.000000,0.000000,0.000000,0.000000
A0ABP1YH51,235,0.000000,0.000000,0.000000,0.000000
A0A2D0PE26,236,0.000000,0.000000,0.000000,0.000000
A0A0H5HBD5,237,0.000000,0.000000,0.000000,0.000000
A0ABM9S2F3,238,0.000000,0.000000,0.000000,0.000000
A0ABM9S2J3,239,0.000000,0.000000,0.000000,0.000000
A0A6M3G872,240,0.000000,0.000000,0.000000,0.000000
A0A0H5GK99,241,0.000000,0.000000,0.000000,0.000000
A0A0H3NQF5,242,0.000000,0.000000,0.000000,0.000000
A0AAE9FL40,243,0.000000,0.000000,0.000000,0.000000
A0A2H1UJ90,244,0.000000,0.000000,0.000000,0.000000
A0A6M3G8P6,245,0.000000,0.000000,0.000000,0.000000
A0A0B5A2L0,246,0.000000,0.000000,0.000000,0.000000
A0A449C6B2,247,0.000000,0.000000,0.000000,0.000000
A0A0H5H8V4,248,0.000000,0.000000,0.000000,0.000000
F4N731,249,0.000000,0.000000,0.000000,0.000000
A0A7U4K299,250,0.000000,0.000000,0.000000,0.000000
A0A9P1PUI1,251,0.000000,0.000000,0.000000,0.000000
A0ABM9S1Y8,252,0.000000,0.000000,0.000000,0.000000
A0AAD2Z2V4,253,0.000000,0.000000,0.000000,0.000000
A0AAD2Z484,254,0.000000,0.000000,0.000000,0.000000
A0ABM9SIR4,255,0.000000,0.000000,0.000000,0.000000
A0A9P1PVU6,256,0.000000,0.000000,0.000000,0.000000
A0ABP1Y817,257,0.000000,0.000000,0.000000,0.000000
A0A449C4V3,258,0.000000,0.000000,0.000000,0.000000
F4N725,259,0.000000,0.000000,0.000000,0.000000
A0A7U4GDF4,260,0.000000,0.000000,0.000000,0.000000
A0A3G8F0J9,261,0.000000,0.000000,0.000000,0.000000
A0A2H1UJE7,262,0.000000,0.000000,0.000000,0.000000
A0AAD2V1D7,263,0.000000,0.000000,0.000000,0.000000
A0A0H5H5S4,264,0.000000,0.000000,0.000000,0.000000
A0A7U0AV15,265,0.000000,0.000000,0.000000,0.000000
A0A0H5HAG0,266,0.000000,0.000000,0.000000,0.000000
F2Q846,267,0.000000,0.000000,0.000000,0.000000
A0AAD2Z5G5,268,0.000000,0.000000,0.000000,0.000000
A0AAT9S9R9,269,0.000000,0.000000,0.000000,0.000000
A0A2D0PDA0,270,0.000000,0.000000,0.000000,0.000000
A0AAD2UW33,271,0.000000,0.000000,0.000000,0.000000
A0A0H5G2H5,272,0.000000,0.000000,0.000000,0.000000
A0A7T9XU34,273,0.000000,0.000000,0.000000,0.000000
A0A0T7P7W8,274,0.000000,0.000000,0.000000,0.000000
A1JK75,275,0.000000,0.000000,0.000000,0.000000
A0ABP1Y7A6,276,0.000000,0.000000,0.000000,0.000000
A0ABM9S4S5,277,0.000000,0.000000,0.000000,0.000000
A0A7T9XU28,278,0.000000,0.000000,0.000000,0.000000
A0A7U4GEA5,279,0.000000,0.000000,0.000000,0.000000
A0A7U0ASF4,280,0.000000,0.000000,0.000000,0.000000
A1JMQ3,281,0.000000,0.000000,0.000000,0.000000
A0ABP1Y442,282,0.000000,0.000000,0.000000,0.000000
A0A0T7PAJ5,283,0.000000,0.000000,0.000000,0.000000
A0A9P1V089,284,0.000000,0.000000,0.000000,0.000000
A0A0H5EYN4,285,0.000000,0.000000,0.000000,0.000000
A0A0H5GK90,286,0.000000,0.000000,0.000000,0.000000
A0A9P1PUD9,287,0.000000,0.000000,0.000000,0.000000
A0A7U4K0Q6,288,0.000000,0.000000,0.000000,0.000000
A0A0H5H5L7,289,0.000000,0.000000,0.000000,0.000000
S5M3A2,290,0.000000,0.000000,0.000000,0.000000
A0A9P1PW91,291,0.000000,0.000000,0.000000,0.000000
A0ABM9SIJ1,292,0.000000,0.000000,0.000000,0.000000
A0A7U0AT10,293,0.000000,0.000000,0.000000,0.000000
A0A7U0AVA4,294,0.000000,0.000000,0.000000,0.000000
A0A9P1PWI0,295,0.000000,0.000000,0.000000,0.000000
A1JND9,296,0.000000,0.000000,0.000000,0.000000
A0A0T7PAK2,297,0.000000,0.000000,0.000000,0.000000
A0A7U0AWS6,298,0.000000,0.000000,0.000000,0.000000
A0ABP1YED8,299,0.000000,0.000000,0.000000,0.000000
A0A9P1V3L8,300,0.000000,0.000000,0.000000,0.000000
A0A9P1PV32,301,0.000000,0.000000,0.000000,0.000000
A0A449C694,302,0.000000,0.000000,0.000000,0.000000
A0A7U4K153,303,0.000000,0.000000,0.000000,0.000000
A0A2H1X986,304,0.000000,0.000000,0.000000,0.000000
A0A0H5H701,305,0.000000,0.000000,0.000000,0.000000
A0ABP1YGH5,306,0.000000,0.000000,0.000000,0.000000
A0A9P1UYL2,307,0.000000,0.000000,0.000000,0.000000
A0AAD2Z3Y9,308,0.000000,0.000000,0.000000,0.000000
A0A0H5HA66,309,0.000000,0.000000,0.000000,0.000000
A0A0T9PR46,310,0.000000,0.000000,0.000000,0.000000
A0ABM9S4S8,311,0.000000,0.000000,0.000000,0.000000
A0A9P1PT68,312,0.000000,0.000000,0.000000,0.000000
A0A9P1V1H6,313,0.000000,0.000000,0.000000,0.000000
A0A857F0P1,314,0.000000,0.000000,0.000000,0.000000
F4N727,315,0.000000,0.000000,0.000000,0.000000
A0AB73QMA1,316,0.000000,0.000000,0.000000,0.000000
A0AAD2Z8P4,317,0.000000,0.000000,0.000000,0.000000
A0A0H5LRI9,318,0.000000,0.000000,0.000000,0.000000
A0A0B4ZZ77,319,0.000000,0.000000,0.000000,0.000000
A0AAD2UW21,320,0.000000,0.000000,0.000000,0.000000
A0A0H5H5S7,321,0.000000,0.000000,0.000000,0.000000
A0A0T9Q3J3,322,0.000000,0.000000,0.000000,0.000000
A0A0T9PX62,323,0.000000,0.000000,0.000000,0.000000
A0AAW7K9U6,324,0.000000,0.000000,0.000000,0.000000
A0A0H3B5E1,325,0.000000,0.000000,0.000000,0.000000
A0A0T9QCI9,326,0.000000,0.000000,0.000000,0.000000
A0ABX5QXK4,327,0.000000,0.000000,0.000000,0.000000
A0A0T9RET2,328,0.000000,0.000000,0.000000,0.000000
A0AAD2Z3C0,329,0.000000,0.000000,0.000000,0.000000
A0ABM9Y807,330,0.000000,0.000000,0.000000,0.000000
A0AAV3BI89,331,0.000000,0.000000,0.000000,0.000000
A0ABM9SSL7,332,0.000000,0.000000,0.000000,0.000000
A0ABM9TCZ7,333,0.000000,0.000000,0.000000,0.000000
A0A0H3B6N5,334,0.000000,0.000000,0.000000,0.000000
A0AA36LLT8,335,0.000000,0.000000,0.000000,0.000000
A0A0T9UVK0,336,0.000000,0.000000,0.000000,0.000000
A0A0T9KM81,337,0.000000,0.000000,0.000000,0.000000
A0ABM9Y805,338,0.000000,0.000000,0.000000,0.000000
A0AB73PI84,339,0.000000,0.000000,0.000000,0.000000
A0A0E1NTH1,340,0.000000,0.000000,0.000000,0.000000
A0ABW9EXB2,341,0.000000,0.000000,0.000000,0.000000
A0AB72ZKZ2,342,0.000000,0.000000,0.000000,0.000000
A0A0T9KX64,343,0.000000,0.000000,0.000000,0.000000
Q66BM0,344,0.000000,0.000000,0.000000,0.000000
A0AAI8ZUU9,345,0.000000,0.000000,0.000000,0.000000
A0ABM6UUX5,346,0.000000,0.000000,0.000000,0.000000
A0ABP2EH72,347,0.000000,0.000000,0.000000,0.000000
A0A0A8VKM3,348,0.000000,0.000000,0.000000,0.000000
A0AA36LPU1,349,0.000000,0.000000,0.000000,0.000000
A0A0T9LS41,350,0.000000,0.000000,0.000000,0.000000
A0A0H3B6E3,351,0.000000,0.000000,0.000000,0.000000
A0AB72ZMY1,352,0.000000,0.000000,0.000000,0.000000
A0A0T9MH64,353,0.000000,0.000000,0.000000,0.000000
A0A2G4U2G2,354,0.000000,0.000000,0.000000,0.000000
A0ABX5R0C5,355,0.000000,0.000000,0.000000,0.000000
A0ABM9XWV8,356,0.000000,0.000000,0.000000,0.000000
A0ABM7AH44,357,0.000000,0.000000,0.000000,0.000000
A0A380PQB1,358,0.000000,0.000000,0.000000,0.000000
A0ABY5UJG2,359,0.000000,0.000000,0.000000,0.000000
A0A0H3B4K0,360,0.000000,0.000000,0.000000,0.000000
A0AA36LNC6,361,0.000000,0.000000,0.000000,0.000000
A0A0T9TRC6,362,0.000000,0.000000,0.000000,0.000000
A0A0H3B3D7,363,0.000000,0.000000,0.000000,0.000000
A0A380PNY7,364,0.000000,0.000000,0.000000,0.000000
A0ABM6UP52,365,0.000000,0.000000,0.000000,0.000000
A0A380PNE2,366,0.000000,0.000000,0.000000,0.000000
A0ABM9TDA6,367,0.000000,0.000000,0.000000,0.000000
A0ABM9TCS0,368,0.000000,0.000000,0.000000,0.000000
A0A0H5M9D5,369,0.000000,0.000000,0.000000,0.000000
A0A085U5Z0,370,0.000000,0.000000,0.000000,0.000000
A0AAV3B8C3,371,0.000000,0.000000,0.000000,0.000000
A0A0T9QDU9,372,0.000000,0.000000,0.000000,0.000000
A1JQS5,373,0.000000,0.000000,0.000000,0.000000
A0ABW9EYQ1,374,0.000000,0.000000,0.000000,0.000000
A0AAX2I043,375,0.000000,0.000000,0.000000,0.000000
A0A208ZSG0,376,0.000000,0.000000,0.000000,0.000000
A0AA90Y526,377,0.000000,0.000000,0.000000,0.000000
A0A380QTF7,378,0.000000,0.000000,0.000000,0.000000
A0A085U317,379,0.000000,0.000000,0.000000,0.000000
A0A2U2GXH7,380,0.000000,0.000000,0.000000,0.000000
A0ABR4W9H6,381,0.000000,0.000000,0.000000,0.000000
A0AB72ZDV0,382,0.000000,0.000000,0.000000,0.000000
A0ABR4VWS1,383,0.000000,0.000000,0.000000,0.000000
A0AB73Q5K2,384,0.000000,0.000000,0.000000,0.000000
A0A0T9UHA7,385,0.000000,0.000000,0.000000,0.000000
A0A0U1R2N4,386,0.000000,0.000000,0.000000,0.000000
A0A380PNP9,387,0.000000,0.000000,0.000000,0.000000
A0A0T9QV26,388,0.000000,0.000000,0.000000,0.000000
A0ABM9XUV6,389,0.000000,0.000000,0.000000,0.000000
A0A0T9PYB4,390,0.000000,0.000000,0.000000,0.000000
A0ABM6BHQ6,391,0.000000,0.000000,0.000000,0.000000
A0A0H3B678,392,0.000000,0.000000,0.000000,0.000000
A0A0U1QVC6,393,0.000000,0.000000,0.000000,0.000000
A0AA90XZS1,394,0.000000,0.000000,0.000000,0.000000
A0A0H3B1B9,395,0.000000,0.000000,0.000000,0.000000
A0AB73Q656,396,0.000000,0.000000,0.000000,0.000000
A0A209A9L1,397,0.000000,0.000000,0.000000,0.000000
A0ABM5UHV5,398,0.000000,0.000000,0.000000,0.000000
A0AB72ZL33,399,0.000000,0.000000,0.000000,0.000000
A0A2G4TYK3,400,0.000000,0.000000,0.000000,0.000000
A0ABR4W5R8,401,0.000000,0.000000,0.000000,0.000000
A0A0A8VDN9,402,0.000000,0.000000,0.000000,0.000000
A0AAI8ZVG7,403,0.000000,0.000000,0.000000,0.000000
A0A0H5MHG7,404,0.000000,0.000000,0.000000,0.000000
A0AAX2I0L3,405,0.000000,0.000000,0.000000,0.000000
A0AA36PIC1,406,0.000000,0.000000,0.000000,0.000000
A0AAV3BAT5,407,0.000000,0.000000,0.000000,0.000000
A0ABM6UW81,408,0.000000,0.000000,0.000000,0.000000
A0ABX5R0V5,409,0.000000,0.000000,0.000000,0.000000
A0A0T9MSU1,410,0.000000,0.000000,0.000000,0.000000
A0ABP1Z8F7,411,0.000000,0.000000,0.000000,0.000000
A0AB73QHN9,412,0.000000,0.000000,0.000000,0.000000
A0AB73NKW1,413,0.000000,0.000000,0.000000,0.000000
A0AAV3B8C2,414,0.000000,0.000000,0.000000,0.000000
A0AB73PP81,415,0.000000,0.000000,0.000000,0.000000
A0A0T9LN66,416,0.000000,0.000000,0.000000,0.000000
A0ABM7AGN3,417,0.000000,0.000000,0.000000,0.000000
A0ABM5U8M7,418,0.000000,0.000000,0.000000,0.000000
A0ABN4CNM4,419,0.000000,0.000000,0.000000,0.000000
A0A0T9RQ76,420,0.000000,0.000000,0.000000,0.000000
A0ABX6FH78,421,0.000000,0.000000,0.000000,0.000000
A0A380PNA2,422,0.000000,0.000000,0.000000,0.000000
A0AA44I1R7,423,0.000000,0.000000,0.000000,0.000000
A0ABP2DZT0,424,0.000000,0.000000,0.000000,0.000000
A0ABY5UX71,425,0.000000,0.000000,0.000000,0.000000
A0AB73QFS4,426,0.000000,0.000000,0.000000,0.000000
A0A380PUT3,427,0.000000,0.000000,0.000000,0.000000
A0A085U7Z9,428,0.000000,0.000000,0.000000,0.000000
A0A208ZSG3,429,0.000000,0.000000,0.000000,0.000000
A0ABM9TGV0,430,0.000000,0.000000,0.000000,0.000000
A0AA44CPT5,431,0.000000,0.000000,0.000000,0.000000
A0A0T9KLV1,432,0.000000,0.000000,0.000000,0.000000
A0ABW9ETP4,433,0.000000,0.000000,0.000000,0.000000
A0A0E1NNL7,434,0.000000,0.000000,0.000000,0.000000
A0A0U1QWC7,435,0.000000,0.000000,0.000000,0.000000
A0ABM9STX9,436,0.000000,0.000000,0.000000,0.000000
A0A380QTH7,437,0.000000,0.000000,0.000000,0.000000
A0ABM6UUN8,438,0.000000,0.000000,0.000000,0.000000
A0A2G4U293,439,0.000000,0.000000,0.000000,0.000000
A0ABM5SR09,440,0.000000,0.000000,0.000000,0.000000
Q666T9,441,0.000000,0.000000,0.000000,0.000000
A0A0T9QEA5,442,0.000000,0.000000,0.000000,0.000000
A0AA44CIX0,443,0.000000,0.000000,0.000000,0.000000
A0ABM7ANK9,444,0.000000,0.000000,0.000000,0.000000
A0ABR4VY47,445,0.000000,0.000000,0.000000,0.000000
A0A0H2W1J5,446,0.000000,0.000000,0.000000,0.000000
A0AB73PZQ4,447,0.000000,0.000000,0.000000,0.000000
A0ABP1YSK3,448,0.000000,0.000000,0.000000,0.000000
A0AAW7JSQ1,449,0.000000,0.000000,0.000000,0.000000
A0ABM9YBE2,450,0.000000,0.000000,0.000000,0.000000
A0ABM9TGR4,451,0.000000,0.000000,0.000000,0.000000
A0ABY5UV58,452,0.000000,0.000000,0.000000,0.000000
A0ABP1ZGZ5,453,0.000000,0.000000,0.000000,0.000000
A0A0H2YKF3,454,0.000000,0.000000,0.000000,0.000000
A0AA44CIM3,455,0.000000,0.000000,0.000000,0.000000
Q66BC8,456,0.000000,0.000000,0.000000,0.000000
A0ABM9SZ95,457,0.000000,0.000000,0.000000,0.000000
A0AA36LM82,458,0.000000,0.000000,0.000000,0.000000
A0AB73PEI7,459,0.000000,0.000000,0.000000,0.000000
A0A380PP39,460,0.000000,0.000000,0.000000,0.000000
A0A0T9RKA1,461,0.000000,0.000000,0.000000,0.000000
A0A0H3B6E0,462,0.000000,0.000000,0.000000,0.000000
A0ABM5U8N2,463,0.000000,0.000000,0.000000,0.000000
A0ABW9EWX0,464,0.000000,0.000000,0.000000,0.000000
A0ABP1Y7W3,465,0.000000,0.000000,0.000000,0.000000
A0ABN4PWA2,466,0.000000,0.000000,0.000000,0.000000
A0ABM5UH14,467,0.000000,0.000000,0.000000,0.000000
A0A0T9KKA0,468,0.000000,0.000000,0.000000,0.000000
Q66CW5,469,0.000000,0.000000,0.000000,0.000000
A0A380Q814,470,0.000000,0.000000,0.000000,0.000000
A0A0E1NX19,471,0.000000,0.000000,0.000000,0.000000
A0ABM9Y7R4,472,0.000000,0.000000,0.000000,0.000000
A0ABN4PV81,473,0.000000,0.000000,0.000000,0.000000
A0ABM7ALJ4,474,0.000000,0.000000,0.000000,0.000000
A0A857EWU7,475,0.000000,0.000000,0.000000,0.000000
A0A0T9UMM8,476,0.000000,0.000000,0.000000,0.000000
A0A0A8VIE2,477,0.000000,0.000000,0.000000,0.000000
A0ABP1YWJ1,478,0.000000,0.000000,0.000000,0.000000
A0A0H3AWU3,479,0.000000,0.000000,0.000000,0.000000
A0AA90XTP7,480,0.000000,0.000000,0.000000,0.000000
A0ABR4W506,481,0.000000,0.000000,0.000000,0.000000
A0A0T9KYN8,482,0.000000,0.000000,0.000000,0.000000
A0A0E1NTB1,483,0.000000,0.000000,0.000000,0.000000
A0AAW7JU40,484,0.000000,0.000000,0.000000,0.000000
A0ABM5U8P4,485,0.000000,0.000000,0.000000,0.000000
